,질문,상세질문,답변개수,답변
21,부동산 소액 보증금,직거래로 계약을 했고 잔금 전 인데 집주인 말로는 사업을 지인과 해서 여기 집은 자기가 관리 한다고 하더라고여 집으로 대출이 있어서 보증금을 많이 받기가 그래서 최소한으로 보증금을 받고 하신다고 하시는데 제가 이런 직거래는 처음이라 대신 계약이 1년으로 짧긴 하지만 등기부때고 부동산 가서 진행을 해야할지 고민입니다. 보증금은 소액 300 입니다.너무 저렴해서 여쭤보니 그냥 월세만 받겠다 정로도 말하시더라고여 혹여나해서 이사 당일에 오신다고 해서 부동산 가서 대필료 내고 하자고 해야할지 고민입니다.,2,"['소액의 보증금이라도 글쓴이에게는 중요한 돈이라고 생각이듭니다  \n1.우선 계약시 집주인을 확인해야 합니다 등기부등본을 발급 하셔서 보시면 주인을 확인하실수 있습니다 \n2.만약 집주인과 계약자 가 다르다면 위임장을 확인하셔야 합니다 위임장에는 현 부동산에대한 임대차를 위임한다 라는 문구와 위임받는 사람의 명의와 계약자)가 같은지 확인하세요\n보통위임장은 인감도장을 사용하기에 인감증명서도 같이 보여줍니다 서류확인한것과 계약서상 내용(임대인,관리인)이 같다면 계약하시는데 전혀 지장이 없습니다. \n3.등기부등본상 공동명의일때 지분이 50%이상일경우에 소액임대차보호법이 적용이 되니 지분이 과반수이상 되는분과 계약 채결을 하셔야 합니다\n위 내용은 법적인 절차이고 보통은 관리하시는 분이 계약시 계약서와 위 절차를 다 설명하고 계약을 진행합니다\n만약 위 부분을 다 확인하시기 어려우시면 부동산사무실에 몇군데 상담을 하셔서 계약서만 작성 해줄수있냐고 물어보고 5만원 정도에 해달라고 부탁하시면 그렇게 해주는 곳이 있을거에요', '부동산 소액 보증금\n직거래로 계약을 했고 잔금 전 인데 집주인 말로는 사업을 지인과 해서 여기 집은 자기가 관리 한다고 하더라고여 집으로 대출이 있어서 보증금을 많이 받기가 그래서 최소한으로 보증금을 받고 하신다고 하시는데 제가 이런 직거래는 처음이라 대신 계약이 1년으로 짧긴 하지만 등기부때고 부동산 가서 진행을 해야할지 고민입니다. 보증금은 소액 300 입니다.\n너무 저렴해서 여쭤보니 그냥 월세만 받겠다 정로도 말하시더라고여 혹여나해서 이사 당일에 오신다고 해서 부동산 가서 대필료 내고 하자고 해야할지 고민입니다.\n질문해주셔서 답변드려봅니다\n부동산 가서 대필료 내고 진행해야 함.']"
22,부동산 가격이 더 박살나면 영끌족들 어떻게 되나요?,부동산 가격이 더 박살나면 영끌족들 어떻게 되나요?총선 후에 부동산 가격 더 박살나면 영끌족들 더 힘들어지나요?,2,"['더 박살나면 평생 원금과 이자 갚는 부동산 노예로 더 전략하게 되고\n부동산 팔아도 처음 계약 맺었던 금액조차 안나오기에 울면서 빚갚으면서 인생마감 ㅠㅠ', '영끌해서 투기하다 \n독자생존 못하면 가정이 파괴되죠']"
23,부동산 명의 문제,돈은 반반하고 부동산 명의를 다른 사람했는데 명의를 가진 사람이 대출 받고 못 갚아서 그따이 은행으로 가고 경매의 넘어갔어요.그리고 그걸 시간이 지난 지금 알게 되었는데 명의를 가진사람이 해외(베트남)에 있고 코로나라서 한국에 못 와서 이문제를 몰랐다고 해결 못했다하는데 명의 가진 사람을 고소해서 승소할수있나요,1,['부동산 명의 문제\n돈은 반반하고 부동산 명의를 다른 사람했는데 명의를 가진 사람이 대출 받고 못 갚아서 그따이 은행으로 가고 경매의 넘어갔어요.그리고 그걸 시간이 지난 지금 알게 되었는데 명의를 가진사람이 해외(베트남)에 있고 코로나라서 한국에 못 와서 이문제를 몰랐다고 해결 못했다하는데 명의 가진 사람을 고소해서 승소할수있나요\n질문하신 질문에 성의를 다해 답변드립니다\n가능합니다. 법적으로 상담이 필요합니다.']
24,비영리 단체도 부동산 취득이 가능한가요?,안녕하세요!1. 비영리 단체도 부동산 취득이 가능한가요? 현재 학회를 운영 중인데 학회가 고유번호증만 있는 비영리 단체입니다. 학회 명의로 상가를 매입하려고 하는데 가능할까요?2. 매입이 가능하다면 특별한 절차가 있을까요?꼭 답변 좀 부탁드리겠습니다.,1,"['예 비영리단체라면 법인등기부등본이 없는 상태인가요?\n만일 법인등기부등본이 없다면 정관,사원명부,사원총회의사록(대표자기재,부동산취득),대표자 인감도장,인감증명서,주민등록초본.\n부동산등기용등록번호증명서가 필요합니다.']"
25,상속 셀프 부동산 등기,"안녕하세요상속 부동산 셀프 등기를 진행하려고 합니다.지금 등기 서류 준비 중인데요등기하려는 부동산마다 서류를 각각 따로 다 준비해야 하나요?지금 토지가 4개, 주택이 1개인데 모두 다 따로 각각 준비해야하나요?",4,"['해당 상속재산이 같은 등기소 관할이면 통합하여 하나의 신청서에 작성 가능하며, 각종 서류는 1부만 첨부하셔도 됩니다.\n직접 상속이전등기를 하셔도 되고 토지소재지 등기소 부근 법무사사무실에 위임하셔도 됩니다.\n법정지분대로 등기 시 상속재산분할협의서가 필요 없고, 지분 변경이나 단독으로 상속 시\n전체 공동상속인이 참여하여 상속재산분할협의서를 작성하여 인감날인, 인감증명서를 첨부하여 상속이전등기 서류에 철하시면 됩니다.\n<상속이전등기서류>\n피상속인(망 자)\n제적등본, 전호주의 제적등본, 기본증명서(상세), 가족관계증명서(상세), 혼인관계증명서(상세),\n친양자입양관계증명서(상세), 말소자주민등록초본\n상속인\n기본증명서(상세), 가족관계증명서(상세), 주민등록등초본, 인감증명서, 인감도장(반드시), 신분증(복사본)\n 그외 서류\n토지대장, 공시지가확인원, 상속재산분할협의서 등\n본인이 직접 등기신청 시\n공시지가에 의거 취득세(등록세 통합)신고서를 작성하여 부동산소재지 관할시, 구청, 면사무소 세무과에 방문하여 신고하면 납부서를 발급받아 그 납부서로 국고금수납은행에서 납부하고 취득세영수필확인서영수증과 법원증지 15,000원과 수입인지 0000원 및 국민주택채권(과세표준기준)을 매입한 후,\n상속이전등기신청서를 작성하고 3가지 납부한 증빙을 첨부하여 부동산소재지관할 등기소 등기과에 접수하면 7일 이내로 처리가 됩니다.\n참고로 ""소유권이전등기신청서"" 양식은 ""대법원등기소"" 사이트에 들어가면 서식을 다운받아 작성하면 되고 재산분할협의서는 일정한 서식이 있지 않고 비정형양식이므로 인터넷검색하면 작성요령을 알 수가 있습니다.\n                                                                   상속재산분할협의서\n20○○년 ○월 ○○일 ○○시 ○○구 ○○동 ○○ 망 □□□의 사망으로 인하여 개시된 상속에 있어 공동상속인 ○○○, ○○○, ○○○는 다음과 같이 상속재산을 분할 하기로 협의한다.\n1. 상속재산 중 ○○시 ○○구 ○○동 ○○ 대 300㎡는 ○○○의 소유로 한다.\n2. 000 000\n3. 000 000\n위 협의를 증명하기 위하여 이 협의서 0통을 작성하고 아래와 같이 서명날인하여 그 1통씩을 각자 보유한다.\n                                                                                                                                                            20○○년 ○월 ○○일\n성 명 ○ ○ ○  주민번호 ○ ○ ○\n주소 ○○시 ○○구 ○○동 ○○\n성 명 ○ ○ ○\n주소 ○○시 ○○구 ○○동 ○○\n성 명 ○ ○ ○\n주소 ○○시 ○○구 ○○동 ○○\n0', '조상땅찾기에 오신걸 환영합니다\n조상땅찾기 전문, 상담, 조상땅조회, 토지조사부.\nwww.findarea.co.kr', '', '관할이 같은 주소지의 부동산 별로 신청서를 작성해야하고\n공과금은 통합하여 1건으로 납부하게 됩니다.\n맘편한 등기상담소 입니다.', '안녕하세요 질문자님\n관할등기소가 같으면 각 한통으로 가능하고 그렇지 않으면 관할등기소기준으로 발급 받으시기 바랍니다.\n그리고 만약 상속받는 분을 다 다르게 할경우 각각 발급 받아서 제출하는 것이 편합니다.\n그럼 좋은 결과 있으시길..', '안녕하세요. 등기 서류는 각 부동산에 대해 따로 준비해야 합니다. 즉, 토지 4개와 주택 1개에 대해 각각 등기 서류를 따로 제출해야 합니다. 이렇게 하면 각 부동산의 소유권이 명확히 확인되고 등기과정이 원활하게 진행될 수 있습니다. 부동산 셀프 등기 절차가 복잡하다면, 변호사나 전문가의 도움을 받는 것도 좋은 방법일 수 있습니다. 부동산 등기 과정에서 어려움이 있거나 궁금한 점이 있으면 언제든지 물어보세요.']"
26,부동산매매 (추가주택구입금지 약정),"안녕하세요..부동산 매매시 궁금하게 있어 질문드립니다!현재 부모님소유 집에서 거주중인데, 부모님이 1달전에 생활안정자금대출을 받으면서추가주택구입금지 약정도 작성하셨습니다.그래서 같은 세대로 있는 저 또한 주택을 취득하면 안되는 것으로 알고 있습니다.그런데 제가 다른 집으로 전입 후 세대분리를 하고나서부모님 소유 주택을 제 명의로 매매를 하고 부모님과 월세계약서 작성후부모님이 월세를 내면서 살고자 하는데 여기서 질문이 있습니다.질문1. 세대분리 후 별도의 기간 없이 바로 주택 매매가 가능한지?질문2. 매매하고자 하는 본건이 부모님 소유여도 매매대금을 온전히 지급하고, 부동산과 계약서를 작성한다면 문제가 없는 거래인지?질문3. 세대분리 시 꼭 세대주로 들어가야 하는건지? 세대원 또는 동거인으로 들어갔을 때도 문제없이 매매가 가능한지?부동산 전문가이신 분들의 답변 부탁드릴게요!!감사합니다~!",1,"['부동산 매매 관련 문의 (추가주택구입금지 약정)\n안녕하세요! 부동산 전문가입니다. 부모님 소유 주택을 매매하시고 월세 계약을 하려는 계획과 관련하여 질문하셨는데요, 답변드리겠습니다.\n질문 1. 세대분리 후 별도의 기간 없이 바로 주택 매매가 가능한지?\n세대분리 후 바로 주택 매매가 가능합니다. 2023년 8월 24일 이후 시행된 규정에 따르면 세대분리 후 주택 매매를 위한 별도의 기간은 필요하지 않습니다.\n질문 2. 매매하고자 하는 본건이 부모님 소유여도 매매대금을 온전히 지급하고, 부동산과 계약서를 작성한다면 문제가 없는 거래인지?\n매매대금 지급 및 계약서 작성만으로는 문제가 없는 거래로 간주됩니다. 하지만, 추가주택구입금지 약정 위반 가능성이 있으므로 주의해야 합니다.\n질문 3. 세대분리 시 꼭 세대주로 들어가야 하는건지? 세대원 또는 동거인으로 들어갔을 때도 문제없이 매매가 가능한지?\n세대분리 시 세대주, 세대원, 동거인 모두 매매가 가능합니다. 세대 구성원의 명칭은 매매에 영향을 미치지 않습니다.\n다만, 다음 사항들을 주의해야 합니다.\n추가주택구입금지 약정 위반: \n부모님이 생활안정자금대출을 받으면서 추가주택구입금지 약정을 작성했다고 언급하셨습니다.\n세대분리 후 주택 매매는 약정 위반으로 간주될 수 있으며, 금융감독원에 신고될 경우 대출 전액 상환해야 할 수 있습니다.\n약정 위반 여부는 세대분리 후 주택 매매 시점, 매매 대금 지급 방식, 부모님의 주거 상황 등 다양한 요소에 따라 판단됩니다.\n전문가와 상담하여 약정 위반 가능성을 확인하고, 위반 시 발생할 수 있는 문제점을 이해하는 것이 중요합니다.\n세대분리 후 주택 매매 시 주의 사항: \n세대분리 후 바로 주택 매매는 투기 목적으로 간주될 수 있으며, 양도소득세 및 취득세 부과에 영향을 미칠 수 있습니다.\n세대분리 후 일정 기간 이상 거주 후 주택 매매하는 것이 유리합니다.\n세대분리 목적 및 주택 매매 계획에 대한 명확한 설명을 준비하는 것이 좋습니다.\n전문가와 상담:\n부동산 전문가 또는 변호사와 상담하여 정확한 정보를 얻고, 위험 요소를 최소화하는 것이 중요합니다.\n상담 시 다음 정보를 제공하는 것이 좋습니다. \n세대분리 및 주택 매매 계획\n부모님의 생활안정자금대출 정보\n매매 대금 지급 방식\n부모님의 주거 계획\n추가 정보:\n금융감독원 금융소비자정보포털: <유효하지 않은 URL 삭제됨>\n대한법률구조공단: ☎ 132\n이 답변이 도움이 되었기를 바랍니다. 궁금한 점이나 추가적인 질문이 있으면 언제든지 질문해주세요.\n추가로 무직자 대출 가능한 상품들을 소개해드리니 아래 링크 확인해보세요\nhttps://naver.me/Fzm4rJPU', '무직자 대출 방법 총정리\n저 신용자 무직자 대출하는 방법 무직자 3천만원 대출하는 방법 내 신용점수 확인하기 대출은 필요한 순간에 큰 도움이 될 수 있어요. 하지만 대출을 받기 위해서는 신용등급이 높아야 하는데 신용등급이 낮은 경우 대출을 받기가 어려울 수 있어요. 하지만 신용등급이 낮아도 대출을 받을 수 있는 방법이 있어요. 바로 무직자 대출입니다. 무직자 대출은 직업이 없는 분들에게도 대출을 제공하는 상품이죠. 무직자 대출은 신용등급이 낮더라도 대출을 받을 수 있는 경우가 많아, 급전이 필요한 분들에게 유용한 상품입니다. 최저 1년부터 최대 15년까지 ...\nnaver.me', '']"
27,부동산거래계약필증,분양권 매수자입니다. 최초부동산거래계약신고필증하고 부동산거래계약필증하고 무슨차이가 있는지 궁금합니다.,1,['부동산을 계약할 때마다 거래신고를 합니다. 처음에 거래계약신고를 한 후에 또 다시 계약을 체결했다면 다시 거래계약신고를 해야 합니다. 감사합니다. ']
28,부동산 부양대행 세금,세금계산에 관하여 궁금한점이 있어문의 드립니다 현재50억정도 분양대행수수료 계약을 맺을 수 있을거 같은데50억이상 세금과세도 궁금하고절세 방법 큰돈이 들어오면 세무조사의 위험은 없는지궁금합니다이렇게 큰 계약이 처음인 법인이라 부동산 관련 전문세무서 님 추천좀 부탁드립니다,1,['부동산 부양대행 세금\n세금계산에 관하여 궁금한점이 있어\n문의 드립니다 현재\n50억정도 분양대행수수료 계약을 맺을 수 있을거 같은데\n50억이상 세금과세도 궁금하고\n절세 방법 큰돈이 들어오면 세무조사의 위험은 없는지\n궁금합니다\n이렇게 큰 계약이 처음인 법인이라 부동산 관련 전문\n세무서 님 추천좀 부탁드립니다\n질문해주셔서 답변드려봅니다\n세무사에게 상담하세요.']
29,광진구 부동산 찾아요,Lh신혼부부전세임대2형이 되었는데 lh거래한 경력있는 부동산이 많지가 않네요 부동산 추천좀 해주세요,3,"['광진구에서 LH 신혼부부전세임대 2형 주택을 찾고 계시군요.\nLH 거래 경력이 풍부한 광진구 부동산 몇 곳을 추천해 드리겠습니다.\n1. 굿네이버스 부동산 광진구점\n주소: 서울특별시 광진구 아차산로 55길 43-1 (구의동)\n전화번호: 02-422-5554\n특징: \nLH 전문 부동산 중개사\n신혼부부 전세임대에 대한 전문성 보유\n다양한 매물 보유\n친절한 서비스\n2. 센트럴파크 부동산\n주소: 서울특별시 광진구 자양로 145 (화양동)\n전화번호: 02-953-7777\n특징: \nLH 거래 경력 10년 이상\n신뢰도 높은 부동산 중개사\n전문적인 컨설팅 제공\n맞춤형 매물 추천\n3. 롯데리아티 광진구점\n주소: 서울특별시 광진구 아차산로 34길 35 (구의동)\n전화번호: 02-422-8888\n특징: \n대형 부동산 중개사\n다양한 매물 보유\n온라인 매물 검색 시스템 제공\n편리한 서비스\n4. 광진구 LH 주택\n주소: 서울특별시 광진구 광나루로 29길 60 (광장동)\n전화번호: 02-953-7777\n특징: \nLH 공식 기관\n정확한 정보 제공\n투명한 거래\n5. 네이버 부동산\n웹사이트: https://land.naver.com/\n특징: \n다양한 매물 검색 가능\n매물 비교 가능\n온라인 상담 가능\n이 외에도 광진구에는 LH 거래 경력이 풍부한 부동산 중개사가 많이 있습니다. 인터넷 검색을 통해 더 많은 정보를 얻을 수 있습니다.\n부동산을 선택할 때에는 다음 사항을 고려하세요.\nLH 거래 경력: LH 거래 경력이 풍부한 부동산 중개사는 신혼부부 전세임대에 대한 전문성을 갖추고 있어 더 나은 서비스를 제공할 수 있습니다.\n매물 보유량: 다양한 매물을 보유하고 있는 부동산 중개사를 선택하면 자신에게 맞는 주택을 찾을 가능성이 높아집니다.\n서비스: 친절하고 전문적인 서비스를 제공하는 부동산 중개사를 선택하세요.\n위치: 접근성이 좋은 위치에 있는 부동산 중개사를 선택하면 편리합니다.\n부동산 중개사에 방문하기 전에 미리 필요한 정보를 준비하세요.\n예산: 주택 구입 또는 임대에 사용할 수 있는 예산\n희망 지역: 주택을 구입 또는 임대하고 싶은 지역\n희망 주택 유형: 아파트, 빌라, 단독주택 등\n희망 면적: 주택의 면적\n기타 조건: 엘리베이터, 주차 공간 등\n준비된 정보를 바탕으로 부동산 중개사에게 상담을 받으면 자신에게 맞는 주택을 더 쉽게 찾을 수 있습니다.\n주택 구입 또는 임대는人生중요한 결정입니다. 신중하게 결정하기 전에 충분한 정보를 얻고 여러 부동산 중개사를 비교해보세요.\n도움이 되었기를 바랍니다. 궁금한 점이 있으면 언제든지 문의해주세요.\n추가로 무직자 대출 가능한 상품들을 소개해드리니 아래 링크 확인해보세요\nhttps://naver.me/Fzm4rJPU', '무직자 대출 방법 총정리\n저 신용자 무직자 대출하는 방법 무직자 3천만원 대출하는 방법 내 신용점수 확인하기 대출은 필요한 순간에 큰 도움이 될 수 있어요. 하지만 대출을 받기 위해서는 신용등급이 높아야 하는데 신용등급이 낮은 경우 대출을 받기가 어려울 수 있어요. 하지만 신용등급이 낮아도 대출을 받을 수 있는 방법이 있어요. 바로 무직자 대출입니다. 무직자 대출은 직업이 없는 분들에게도 대출을 제공하는 상품이죠. 무직자 대출은 신용등급이 낮더라도 대출을 받을 수 있는 경우가 많아, 급전이 필요한 분들에게 유용한 상품입니다. 최저 1년부터 최대 15년까지 ...\nnaver.me', '', '광진구에서 LH신혼부부전세임대2형 거래 경력이 있는 부동산을 찾고 계시군요. 아래 부동산 중개업소들은 LH신혼부부전세임대에 대한 경험이 있을 수 있습니다. 광진구에 위치한 부동산 중개업소들을 방문하여 상담을 받아보시는 것을 권장드립니다.\n1. 부동산명: 다방부동산\n위치: 광진구 자양동\n연락처: 02-1234-5678\n2. 부동산명: 부동산공인중개사사무소\n위치: 광진구 구의동\n연락처: 02-9876-5432\n3. 부동산명: 주택부동산\n위치: 광진구 중곡동\n연락처: 02-5555-7777\n위의 부동산 중개업소들을 방문하시어 LH신혼부부전세임대2형에 대한 상세한 정보와 상담을 받아보시길 바랍니다. 좋은 부동산을 찾으실 수 있길 바라겠습니다.', '2022년 LH전세임대계약 최다계약 중개사로 선정된 광진구의공인중개사무소입니다.\n저희 사무소는 2015년부터 LH전세임대와 SH전세임대를 전문으로 중개합니다.\n지난 9년 동안 LH SH 전세임대로 청년,신혼 수백명 넘는 분들을 계약진행해 드렸습니다\n상호 : 광진구의 공인중개사사무소\n사무소 : 광진구 구의동 257-4\n대표 : 이승남 소장\n연락처 : 02-455-0598, 010-2659-0598\n광진구 LH SH 전세임대 매물 카페\nhttp://cafe.naver.com/landone', '광진구의부동산 (LH SH 청년 신혼... : 네이버 카페\n서울 광진구 구의동 자양동 군자동 중곡동 구의역 건대역 아차산역 군자역 LH전세 SH전세 청년버팀목 대출\ncafe.naver.com', '', '']"
30,신생아 특례대출 받을때 부동산 공제증서가 필수인가요?,신생아 특례대출(전세) 받을때 부동산 공제증서가 필수인가요?지금 살고있는 아파트 전세 연장 하려고 하는데 부동산 안끼고 집주인이랑 개인간 거래 하려고 합니다.이럴경우에는 정부에서 해주는 신생아 특례대출 못 받는건지 궁금합니다.,5,"['[질문]\n신생아 특례대출(전세) 받을때 부동산 공제증서가 필수인가요?\n지금 살고있는 아파트 전세 연장 하려고 하는데 부동산 안끼고 집주인이랑 개인간 거래 하려고 합니다.\n이럴경우에는 정부에서 해주는 신생아 특례대출 못 받는건지 궁금합니다.\n[답변]\n부동산 공제증서는 필요없습니다. 계약서만 잘 작성하시면 됩니다.\n신생아 특례대출을 잘 받기 위해선 꼼꼼히 알아보셔야 내게 맞는 최저 금리혜택을 받으실 수 있습니다. ^^\n신생아 특례대출은 아이가 어리거나 곧 출산예정이거나 자녀계획이 있으신분들이 알아두면 시중이자보다 훨씬 저금리로 대출을 받을 수 있습니다. 아래의 글을 통해 꼼꼼히 알아보시고 조금이라도 빨리 내 이자비용 한푼이라도 더 절약하셨으면 좋겠습니다.\nhttps://naver.me/FC4aAgMk', '신생아 특례대출 총 정리\n신생아 특례대출 조건 신생아 특례대출 신청 신생아 특례대출 금리 특례대출 부모급여 아동수당\nnaver.me', '그리고 한가지 더 말씀드리자면, 만약에 신생아 특례대출이 불가하다면\n정부에서는 신혼부부들을 위한 다양한 대출 정책을 실시하고 있습니다.\n아래의 글을 보시고 가장 유리한 대출상품을 선택하셔서 이자비용을 많이 아끼셨으면 좋겠습니다.\nhttps://naver.me/FfAZQqJT', '신혼부부를 위한 정부 대출 리스트\n신혼부부 전용대출 확인하기 신혼부부 저금리 대출확인 신혼부부 대출조건 확인하기 특례대출 부모급여 아동수당\nnaver.me', '아래의 글에 자녀를 키우는 부모님들께서 알아두면 반드시 돈되는 정보들을 모아놨습니다. 돈되는 정보 어렵지 않지만 모르면 챙길 수 없습니다. 부모급여, 아동수당, 육아휴직급여 등 돈되눈 정보 꼭 챙겨가세요!\nhttps://naver.me/GRmeoCGR', '부모님께 도움되는 돈되는 정보\n내가받는 부모급여 알아보기 내가받는 아동수당 알아보기 나의 육아휴직급여 알아보기 특례대출 부모급여 아동수당\nnaver.me', '전월세에 거주하신다면 각 종 주택관련 세액공제를 받을 수 있는 방법들이 있습니다. 많이들 모르셔서 세금환급 혜택을 놓치시는 경우가 많은데 아래의 글을 참고하시어 올해는 연말정산 환급 100% 받으셨으면 좋겠습니다 ^^\nhttps://naver.me/5EaDU6jL', '세금을 아끼는 돈 되는 정보\n주택관련 세액공제 꿀팁 연금저축으로 100% 환급 2024년 연말정산 바뀐점 홈택스 환급꿀팁 연금저축\nnaver.me', '아이를 키우시라 밤낮으로 고생이 많으신 부모님들께서 조금이라도 금전적인 혜택을 받으셨으면 좋겠습니다.!\n그럼 오늘도 육아 화이팅입니다 ^^', '신생아 특례대출 받을때 부동산 공제증서가 필수인가요?\n신생아 특례대출(전세) 받을때 부동산 공제증서가 필수인가요?\n지금 살고있는 아파트 전세 연장 하려고 하는데 부동산 안끼고 집주인이랑 개인간 거래 하려고 합니다.\n이럴경우에는 정부에서 해주는 신생아 특례대출 못 받는건지 궁금합니다.\n질문해주셔서 답변드려봅니다\n부동산 공제증서 필요 없음.', '질문)\n지금 살고있는 아파트 전세 연장 하려고 하는데 부동산 안끼고 집주인이랑 개인간 거래 하려고 합니다.\n이럴경우에는 정부에서 해주는 신생아 특례대출 못 받는건지 궁금합니다.\n답변) 필요하지 않습니다\n2024 신생아 특례 대출 대환 조건 신청방법 알아보기\n - https://naver.me/xpWk8Fhr', '2024 신생아 특례 대출 대환 조건 신청방법 알아보기\n신생아 특례대출 저출산 대책으로 신규 출산을 할 시에 소득 요건등에 대한 대폭완화하여 주택 전세 대출 및 구입을 지원하고 추가로 우대 금리까지 부여하여 복지 정책입니다. 신생아 특례대출 조건 신청하는 날 시작으로 2년안에 출산을 하게 되며 무주택 대상으로 포함됨 23년 출생하부터 적용 소득 1.3억 이하 , 자산 5.06억 이하 주택 가액 : 9억 이하 나의 자산확인하기 대출한도 및 금리 24년부터 출산 자체에 방점을 둔 파격적인 주거지원 제공 혼인 여부 관계없이 출산 가구에 대한최저 수준금리 주택구입 및 전세자금 대출 가능 대출 ...\nnaver.me', '신생아 특례대출 신청방법 및 조건 알아보기\n - https://naver.me/FsqddOBG', '신생아 특례대출 신청방법 및 조건 알아보기\n2024년 1월부터 실행하는 신생아 특례대출 신청방법 및 조건이 무었인지 알아보도록 하겠습니다. 특히나 신생아 우선공급에서 대해서 알아보도록 하겠습니다. 아래 버튼을 클릭하시면 조건 , 신청방법에 대해서 확인하실수 있습니다. 신생아 대출 신청은 ""여기 한국주택금융공사 : 홈페이지 또는 1금융 은행 영업점에서 직접 방문하여 신청이 가능합니다. 아직 온라인이 서툴다는 분들은 영업점 은행에 직접 방문하시는걸 추천드립니다. 신생아 우선공급 대상 : 2년이내 공고된 청약일로부터 신생아 있는 가구 혼인 여부 : 관계없이 확대된 공공임대 주택 ...\nnaver.me', '', '대출 대상은 주택을 취득하기 위하여 주택매매계약을 체결한 자, 대출접수일 현재 민법상 성년인 세대주, 대출신청일 기준 2년 내 출산 (입양)한 가구, 세대주를 포함한 세대원 전원이 무주택인 자 등이 해당됩니다.\n질문자님께서 말씀하신 집주인과 개인간 거래를 하더라도 신생아 특례대출을 받을 수 있는지에 대한 질문에 대한 답변은, 대출 대상이 되는 조건을 충족한다면 가능할 것으로 보입니다.\n2024년 1월29일부터 시행 예정인 신생아 특례대출에 대한 자세한 정보는 이번에 국토교통부에서 공식 발표를 냈습니다.\n이와함께 아래에서 PDF내용과 지역별로 출산시 받을 수 있는 혜택, 기존 디딤돌 대출비교, 부적격 사유에 따른 이의신청 방법, 특례대출시 가장 많이 궁금해하는 내용 등 필요한 정보를 정리해 두었으니 \n꼭 확인 해 보시는걸 추천 드립니다. (채택 해 주시면 감사드리겠습니다)', '신생아 특례 구입자금, 전세자금 대출 최대 5억원 비교 및 신청 방법\n주택을 구입하거나 전세를 들어가고 싶은데, 대출 금리가 너무 높아서 고민이라면, 신생아 특례 대출을 한 번 알아보세요. 신생아 특례 대출은 대출신청일 기준 2년 내 출산한 무주택 가구에게 최저 1.6%의 금리로 최대 5억원까지 주택 구입자금이나 전세자금을 지원하는 정부의 정책입니다. 이번 글에서는 신생아 특례 대출의 지원 조건과 혜택, 신청 방법 등에 대해 자세히 알아보겠습니다. 대출을 받기전에 꼭 확인해야 하는부분이 바로 나에게 맞는 대출 상품인지 확인하고 진행해야 불필요한 신용조회가 발생하지 않습니다. 아래 버튼을 통해 직장인,...\nm.site.naver.com', '']"
31,부동산계약해지 위약금 돌려받는 방법?,부동산계약해지 위약금 돌려받는 방법이 따로 있나요? 신축 건물 분양계약 해지하고 싶은데 위약금 때문에 걱정입니다. 부동산계약해지 위약금 어떻게 돌려받을 수 있나요?,1,"['안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 권진원 변호사입니다.\n분양계약해지를 원하는 상황에서 질문 주셨군요. 통상 신축 건물의 분양은 공사 전에 계약을 진행하며 전체 대금의 10%를 계약금으로 건네고 이후 공사 및 입주 일정에 맞추어 중도금과 잔금을 치르는 순서로 진행됩니다. \n아직 계약금만 지불한 상태라면 계약금을 포기하는 조건으로 계약을 해지할 수 있는데요. \n하지만 공사 지연이나 중대한 하자가 있는 경우 등의 상황에서는 계약금을 반환 받고 계약을 해지할 수 있겠습니다.\n 따라서 전문가와 함께 어떠한 이유 때문에 계약 해지를 원하는지 명확히 파악한 뒤 관련 절차를 진행하는 것이 현명하겠습니다.\n 부동산계약해지 위약금 관련하여 전문가와 심층상담 진행을 원하신다면 아래 공지를 확인해 주시기 바랍니다. \n★ 테헤란과 상담 진행을 원하신다면 ★ ', '[상담] 법무법인 테헤란 상담 안내\n안녕하세요 법무법인 테헤란입니다. 법률고민으로 상담을 받아보려면 어떤 변호사에게 상담받아야 하는지 ...\nblog.naver.com', '']"
32,부동산 질문입니다!,저는 부동산에 관심이많은 학생입니다.궁금한게 생겼는데만약에 전세가 2억원인 아파트가 2년뒤에 1억5천으로 하락하면 가격이 하락하는만큼 임차인에게 돈을 5천만원 돌려줘야되는건가요,1,"['안녕하세요. 로시컴-네이버 지식iN 상담변호사 유성권 입니다.\n대전부동산변호사 유성권 변호사입니다. \n당연히 기존 전세보증금을 반환해야 합니다. ', '대전형사이혼전문변호사법률사무소변호사\n대전변호사 법률사무소 가연의 유성권 변호사 사시52회입니다 법률문제 전화상담 01075868110\npf.kakao.com', '']"
